platform,name,inchikey,pubchem_cid,cas_number,molecular_formula,mz,ri,observed_rt_sec
lc/ms pos late,3-hydroxydecanoylcarnitine,VCRSQDIROUELAR-UHFFFAOYSA-N,121454166,,,332.2432,961.0,71.52
lc/ms pos late,biliverdin,QBUVFDKTZJNUPP-YBRAVLHJSA-N,5280353,,,583.25512,1016.0,69.3
lc/ms pos late,5-dodecenoylcarnitine (C12:1),PETYOUXDCHQKTQ-QXPKXGMISA-N,91825571,,,342.26389,1135.0,68.19
lc/ms pos late,octadecanedioylcarnitine (C18-DC)*,ULCCGBCYWCYNIC-UHFFFAOYSA-N,,,,458.34762,1227.0,89.2
lc/ms pos late,arachidonoylcarnitine (C20:4),RBFQHRALHSUPIA-SNPVRQPZSA-N,136212424,,,448.34215,1353.0,120.05
lc/ms pos late,"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",YVTVVJRJLRHYSJ-COUPUTHFSA-N,,,,755.60615,2039.0,178.13
lc/ms pos late,myristoyl dihydrosphingomyelin (d18:0/14:0)*,MJAFYELZQYPMQG-MPQUPPDSSA-N,44260138,,,677.5592,2060.0,127.6
lc/ms pos late,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",YMQZQHIESOAPQH-JXGHDCMNSA-N,46891763,,,717.5905,2312.0,127.51
lc/ms pos late,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),WTJKGGKOPKCXLL-PFDVCBLKSA-N,6436017,,,760.58509,2358.0,130.57
lc/ms pos late,"1,2-dipalmitoyl-GPC (16:0/16:0)",KILNVBDSWZSGLL-KXQOOQHDSA-N,452110,,,734.56944,2365.0,132.72
lc/ms pos late,4-cholesten-3-one,NYOXRYYXRWJDKP-UHFFFAOYSA-N,91477,,,385.3465,2520.0,141.87
lc/ms pos late,alpha-tocopherol,GVJHHUAWPYXKBD-IEOSBIPESA-N,86472,,,430.381081,2522.0,142.94
lc/ms pos late,1-stearoyl-2-oleoyl-GPC (18:0/18:1),ATHVAWFAEPLPPQ-VRDBWYNSSA-N,24778825,,,788.61639,2644.0,139.4
lc/ms pos late,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),PZNPLUBHRSSFHT-RRHRGVEJSA-N,24778686,,,762.60074,2653.0,136.55
lc/ms pos late,cholesterol,HVYWMOMLDIMFJA-LBHVWCRMSA-N,5997,,,369.35159,2707.0,149.64
lc/ms pos late,campesterol,SGNBVLSWZMBQTH-PODYLUTMSA-N,173183,,,383.36724,2873.0,158.66
lc/ms pos late,N-palmitoyl-sphingosine (d18:1/16:0),YDNKGFDKKRUKPY-TURZORIXSA-N,5283564,,,538.51937,2893.0,157.31
lc/ms pos late,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),XVYPOHCSLJZFED-QZEVRULJSA-N,42607457,,,730.57452,2950.0,150.01
lc/ms pos late,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),KRTOMQDUKGRFDJ-YKOKTLGVSA-N,,,,904.59096,3000.0,160.47
lc/ms pos late,N-palmitoyl-sphinganine (d18:0/16:0),GCGTXOVNNFGTPQ-JHOUSYSJSA-N,5283572,,,540.53503,3090.0,166.04
lc/ms pos late,lignoceroyl sphingomyelin (d18:1/24:0),QEDPUVGSSDPBMD-XTAIVQBESA-N,,,,815.70006,3437.0,179.35
lc/ms pos late,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,YOBFISPJJWPPTK-BAAZTTAESA-N,,,,882.60661,3711.0,167.23
lc/ms pos late,lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,MKOKWBRPIBQYJJ-WZBOJYASSA-N,,,,972.73457,3778.0,203.84
lc/ms pos late,glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,KNDOGXSGCOJBRQ-UHRQUHAFSA-N,,,,826.6767,3839.0,150.85
lc/ms pos late,lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,QYWVASPEUXEHSY-NNRNTGNWSA-N,44260143,,,946.71892,3842.0,208.15
lc/ms pos late,1-linoleoyl-GPC (18:2),SPJFYYJXNPEZDW-UTJQPWESSA-N,11988421,,,520.339766,5574.0,98.23
lc/ms pos late,1-stearoyl-GPC (18:0),IHNKQIMGVNPMTC-RUZDIDTESA-N,497300,,,524.371066,5844.0,103.98
