BIOCHEMICAL,PATHWAY,ChemRICHClass,PUBCHEM,INCHIKEY,PLATFORM,MASS,RI
prolylglutamate,peptide,,,,lc/ms pos,245.1,926.6
prolylglutamine,peptide,,,,lc/ms pos,244.2,823.5
prolylglycine,peptide,Oligopeptides,6426709,RNKSNIBMTUYWSH-YFKPBYRVSA-N,lc/ms pos early,173.09207,2136
prolylhydroxyproline,amino acid,Oligopeptides,11902892,ONPXCLZMBSJLSP-CSMHCCOUSA-N,lc/ms pos early,229.1183,2128
prolylisoleucine,peptide,,,,lc/ms pos,229.2,2112
prolylleucine,peptide,,,,lc/ms neg,227.2,2985
prolyllysine,peptide,,,,gc/ms,142.1,2125.8
prolylphenylalanine,peptide,,,,lc/ms pos,263.2,2550
prolylproline,peptide,Oligopeptides,263469,RWCOTTLHDJWHRS-UHFFFAOYSA-N,lc/ms pos,213.12337,1500
prolylserine,peptide,Oligopeptides,7408258,AFWBWPCXSWUCLB-WDSKDSINSA-N,gc/ms,142.1,1888.6
prolyltryptophan,peptide,,,,lc/ms pos,302.2,2653
